Date,Open,High,Low,Close,Adj Close,Volume
2023-08-09,48.360001,48.630001,47.680000,48.119999,48.042835,5830000
2023-08-10,48.200001,48.549999,46.959999,47.380001,47.304024,6333100
2023-08-11,47.779999,48.650002,47.669998,48.360001,48.282452,14754200
2023-08-14,48.340000,48.639999,47.750000,48.590000,48.512081,5984100
2023-08-15,47.900002,48.000000,45.910000,46.820000,46.744919,14084400
2023-08-16,47.070000,47.549999,45.820000,45.980000,45.906265,9442000
2023-08-17,46.740002,46.990002,45.139999,45.380001,45.307228,8251500
2023-08-18,45.000000,45.450001,44.520000,45.169998,45.097565,6472300
2023-08-21,45.500000,46.099998,44.320000,44.750000,44.678238,7574600
2023-08-22,44.810001,45.459999,44.650002,45.099998,45.027676,5467600
2023-08-23,44.790001,46.180000,44.099998,45.849998,45.776474,9869100
2023-08-24,45.900002,46.490002,45.400002,46.060001,45.986141,4785000
2023-08-25,46.459999,46.880001,45.619999,46.389999,46.315609,5710400
2023-08-28,46.410000,46.799999,46.200001,46.689999,46.615128,4810400
2023-08-29,47.000000,47.180000,45.630001,45.849998,45.776474,8537100
2023-08-30,45.970001,46.130001,45.439999,45.810001,45.736542,4725000
2023-08-31,46.009998,47.299999,45.709999,46.419998,46.345558,12801400
2023-09-01,46.990002,47.500000,46.209999,46.950001,46.874710,7194200
2023-09-04,46.799999,47.020000,46.410000,46.610001,46.535255,3476500
2023-09-05,46.389999,48.130001,46.259998,47.490002,47.413845,9135100
2023-09-06,47.500000,47.799999,46.730000,46.790001,46.714970,6127400
2023-09-08,46.580002,47.540001,46.360001,47.490002,47.413845,6412100
2023-09-11,47.480000,48.340000,46.820000,47.709999,47.633492,6631000
2023-09-12,48.250000,48.709999,47.849998,48.110001,48.032852,5144500
2023-09-13,48.310001,48.830002,47.939999,48.200001,48.122707,8175700
2023-09-14,48.799999,49.400002,48.630001,49.250000,49.171024,8481000
2023-09-15,49.450001,49.680000,48.610001,49.400002,49.320782,10573800
2023-09-18,49.700001,49.830002,47.820000,48.160000,48.082771,6378400
2023-09-19,48.490002,48.939999,48.310001,48.709999,48.631889,7751800
2023-09-20,48.599998,49.529999,48.430000,48.709999,48.631889,6334500
2023-09-21,48.310001,48.490002,46.020000,46.439999,46.365528,14203500
2023-09-22,47.000000,47.360001,46.209999,46.759998,46.685013,6646400
2023-09-25,46.650002,47.169998,46.419998,46.980000,46.904663,4190700
2023-09-26,46.860001,47.099998,46.099998,46.930000,46.854744,5474000
2023-09-27,47.759998,48.470001,47.599998,48.299999,48.222546,8472300
2023-09-28,48.299999,48.520000,47.130001,47.240002,47.164246,9568700
2023-09-29,47.750000,47.849998,45.259998,47.040001,46.964569,14768700
2023-10-02,47.119999,47.299999,45.220001,45.400002,45.327198,10385000
2023-10-03,45.270000,45.549999,44.459999,45.169998,45.097565,10501400
2023-10-04,44.799999,44.990002,43.680000,43.900002,43.829605,12270800
2023-10-05,43.869999,44.090000,43.200001,43.709999,43.639904,7883100
2023-10-06,43.250000,44.860001,43.139999,44.540001,44.468575,7181000
2023-10-09,46.080002,48.740002,46.080002,48.450001,48.372307,22011800
2023-10-10,48.200001,48.480000,47.669998,48.250000,48.172626,8628900
2023-10-11,48.099998,48.230000,47.169998,47.599998,47.523666,10758700
2023-10-13,49.000000,50.250000,48.470001,50.000000,49.919819,15651900
2023-10-16,50.220001,50.439999,48.959999,49.799999,49.720139,7872400
2023-10-17,49.799999,50.470001,49.430000,50.200001,50.119499,10623000
2023-10-18,50.630001,51.349998,50.110001,50.200001,50.119499,13698300
2023-10-19,49.500000,50.220001,49.299999,50.029999,49.949772,8442900
2023-10-20,50.040001,50.220001,49.169998,49.700001,49.620300,9633200
2023-10-23,49.389999,49.869999,48.799999,48.840000,48.761681,9719300
2023-10-24,49.270000,49.779999,48.509998,48.849998,48.771664,9193900
2023-10-25,49.000000,49.000000,47.869999,48.360001,48.282452,6940700
2023-10-26,47.779999,48.139999,47.340000,48.000000,47.923027,6423600
2023-10-27,47.790001,48.110001,47.259998,47.770000,47.693398,9518700
2023-10-30,47.700001,48.000000,46.200001,46.360001,46.285656,7475400
2023-10-31,46.549999,47.700001,46.500000,47.700001,47.623508,8322300
2023-11-01,48.799999,49.040001,48.000000,48.070000,47.992916,13066300
2023-11-03,49.200001,49.400002,47.830002,48.200001,48.122707,8622000
2023-11-06,48.500000,48.650002,47.770000,48.009998,47.933010,4894600
2023-11-07,47.430000,47.529999,46.630001,46.820000,46.744919,11616200
2023-11-08,46.500000,46.730000,45.259998,45.480000,45.407066,13085600
2023-11-09,45.740002,46.250000,44.730000,44.730000,44.658272,8134900
2023-11-10,45.029999,46.900002,45.029999,46.470001,46.395481,10093300
2023-11-13,46.330002,46.919998,46.209999,46.299999,46.225754,5263500
2023-11-14,46.450001,47.340000,46.150002,46.990002,46.914650,10645500
2023-11-16,46.500000,46.830002,44.560001,45.330002,45.257309,20731500
2023-11-17,45.889999,46.889999,45.700001,46.480000,46.405464,14546400
2023-11-20,46.980000,48.540001,46.830002,47.529999,47.453781,10482700
2023-11-21,47.150002,48.160000,46.680000,47.980000,47.903057,6421300
2023-11-22,46.990002,47.270000,46.320000,47.240002,47.164246,9912800
2023-11-23,47.009998,47.340000,46.849998,47.240002,47.164246,3659300
2023-11-24,47.130001,47.820000,46.900002,47.209999,47.134293,5067400
2023-11-27,46.919998,47.340000,45.610001,46.220001,46.145882,8357200
2023-11-28,46.369999,46.529999,45.430000,46.090000,46.016090,10027000
2023-11-29,46.610001,46.700001,45.619999,45.910000,45.836380,9142900
2023-11-30,46.250000,47.650002,45.580002,45.930000,45.856346,22197800
2023-12-01,46.080002,46.080002,44.270000,44.570000,44.498528,14432700
2023-12-04,44.299999,44.560001,43.740002,44.220001,44.149090,11542400
2023-12-05,44.200001,44.439999,42.799999,43.160000,43.090790,13318300
2023-12-06,42.799999,42.799999,41.150002,41.439999,41.373547,21444600
2023-12-07,41.810001,42.630001,41.610001,42.419998,42.351974,11960600
2023-12-08,43.000000,44.790001,42.250000,44.549999,44.478558,16670000
2023-12-11,44.549999,44.790001,43.990002,44.680000,44.608353,6086600
2023-12-12,44.650002,44.669998,43.459999,43.799999,43.729763,12409100
2023-12-13,44.000000,45.759998,43.919998,45.299999,45.227356,10826300
2023-12-14,46.250000,47.400002,45.970001,47.279999,47.279999,13677700
2023-12-15,47.820000,47.849998,46.119999,46.250000,46.250000,26755800
2023-12-18,46.139999,47.389999,45.950001,46.099998,46.099998,10262300
2023-12-19,46.400002,46.959999,46.119999,46.709999,46.709999,4214700
2023-12-20,46.959999,46.959999,45.320000,45.540001,45.540001,6991300
2023-12-21,45.750000,45.799999,44.840000,45.160000,45.160000,8095500
2023-12-22,45.340000,45.740002,45.110001,45.369999,45.369999,6295400
2023-12-26,45.689999,46.380001,45.540001,45.919998,45.919998,7602300
2023-12-27,45.919998,46.700001,45.680000,45.939999,45.939999,6627600
2023-12-28,45.820000,46.049999,45.320000,46.049999,46.049999,7871200
2024-01-02,46.580002,46.689999,45.250000,45.349998,45.349998,7566100
2024-01-03,45.340000,47.549999,45.220001,46.880001,46.880001,17020600
2024-01-04,46.630001,47.200001,46.020000,46.419998,46.419998,7873100
2024-01-05,45.849998,46.950001,45.849998,46.080002,46.080002,9965800
2024-01-08,45.500000,45.810001,44.209999,45.750000,45.750000,9674200
2024-01-09,46.200001,46.480000,45.459999,46.279999,46.279999,7332800
2024-01-10,46.439999,46.439999,43.919998,44.349998,44.349998,21864900
2024-01-11,44.680000,45.860001,44.549999,45.500000,45.500000,13629200
2024-01-12,46.720001,46.849998,45.939999,46.080002,46.080002,9859300
2024-01-15,45.759998,47.150002,45.590000,47.070000,47.070000,5513600
2024-01-16,46.950001,47.189999,45.709999,45.880001,45.880001,8789000
2024-01-17,45.490002,45.490002,44.270000,45.049999,45.049999,15310200
2024-01-18,45.250000,45.570000,44.439999,44.759998,44.759998,7214300
2024-01-19,44.639999,44.869999,44.279999,44.610001,44.610001,4277800
2024-01-22,44.650002,44.770000,43.799999,44.160000,44.160000,5355200
2024-01-23,44.139999,44.540001,44.000000,44.330002,44.330002,5327100
2024-01-24,44.400002,45.060001,44.130001,44.599998,44.599998,5271700
2024-01-25,44.869999,44.980000,44.299999,44.799999,44.799999,5533100
2024-01-26,44.599998,45.689999,44.250000,45.689999,45.689999,7097400
2024-01-29,45.770000,45.790001,44.209999,44.759998,44.759998,6249100
2024-01-30,44.480000,44.500000,43.509998,44.090000,44.090000,10725100
2024-01-31,44.000000,44.740002,43.759998,43.930000,43.930000,7507400
2024-02-01,44.209999,44.330002,42.790001,43.150002,43.150002,10093700
2024-02-02,43.150002,43.259998,41.610001,42.450001,42.450001,15653500
2024-02-05,42.200001,42.630001,41.869999,42.049999,42.049999,7334700
2024-02-06,42.200001,43.770000,42.200001,43.599998,43.599998,8998800
2024-02-07,43.549999,44.400002,43.099998,43.970001,43.970001,9919200
2024-02-08,44.110001,44.240002,42.770000,43.400002,43.400002,6454400
2024-02-09,43.340000,43.439999,42.049999,42.360001,42.360001,9206300
2024-02-14,42.360001,42.660000,41.900002,42.549999,42.549999,5129400
2024-02-15,42.840000,44.720001,41.880001,44.570000,44.570000,16300200
2024-02-16,44.570000,45.700001,44.369999,45.400002,45.400002,9048200
2024-02-19,45.529999,45.959999,44.860001,45.889999,45.889999,4924500
2024-02-20,45.590000,46.869999,45.320000,46.119999,46.119999,9490700
2024-02-21,46.099998,47.380001,45.650002,47.000000,47.000000,9337600
2024-02-22,47.299999,47.779999,46.610001,46.950001,46.950001,9060200
2024-02-23,46.560001,46.939999,45.400002,45.799999,45.799999,10263900
2024-02-26,45.560001,46.500000,45.320000,45.860001,45.860001,4394700
2024-02-27,45.869999,46.180000,44.770000,45.400002,45.400002,9364900
2024-02-28,45.000000,45.169998,44.020000,44.500000,44.500000,11778900
2024-02-29,44.369999,44.450001,43.700001,43.709999,43.709999,8503800
2024-03-01,44.060001,45.090000,44.029999,44.349998,44.349998,4752600
2024-03-04,44.299999,44.680000,44.110001,44.110001,44.110001,3566600
2024-03-05,44.009998,44.410000,43.799999,44.320000,44.320000,4628900
2024-03-06,44.250000,44.790001,43.240002,43.639999,43.639999,11036100
2024-03-07,43.630001,43.980000,43.349998,43.349998,43.349998,4489600
2024-03-08,43.299999,45.459999,43.279999,44.700001,44.700001,13198500
2024-03-11,44.490002,45.599998,43.650002,44.900002,44.900002,10045200
2024-03-12,45.349998,47.970001,45.169998,47.500000,47.500000,16492000
2024-03-13,47.750000,49.169998,47.599998,48.919998,48.919998,19434300
2024-03-14,48.970001,49.700001,48.410000,48.599998,48.599998,11407100
