date,confirmed,deaths
2021-09-24,2198,215
2021-09-25,1760,175
2021-09-26,383,31
2021-09-27,400,18
2021-09-28,1791,253
2021-09-29,1460,241
2021-09-30,1550,189
2021-10-01,1616,143
2021-10-02,1313,97
2021-10-03,477,14
2021-10-04,205,22
2021-10-05,3765,143
2021-10-06,1679,172
2021-10-07,1513,139
2021-10-08,1439,90
2021-10-09,4724,98
2021-10-10,518,28
2021-10-11,399,33
2021-10-12,410,37
2021-10-13,226,9
2021-10-14,1930,103
2021-10-15,1685,79
2021-10-16,1448,90
2021-10-17,369,19
2021-10-18,158,3
2021-10-19,1296,81
2021-10-20,1748,87
2021-10-21,1625,89
2021-10-22,2229,85
2021-10-23,1833,69
2021-10-24,270,4
2021-10-25,209,1
2021-10-26,1716,78
2021-10-27,1634,59
2021-10-28,1290,116
2021-10-29,987,116
2021-10-30,684,61
2021-10-31,550,27
2021-11-01,175,17
2021-11-02,738,62
2021-11-03,766,17
2021-11-04,1648,124
2021-11-05,1471,115
2021-11-06,1307,179
2021-11-07,700,11
2021-11-08,359,0
2021-11-09,946,2
2021-11-10,1558,9
2021-11-11,1847,1
2021-11-12,2671,414
2021-11-13,1692,105
2021-11-14,469,1
2021-11-15,166,7
2021-11-16,333,1
2021-11-17,1970,147
2021-11-18,1935,85
2021-11-19,2208,62
2021-11-20,1154,99
2021-11-21,787,12
2021-11-22,219,5
2021-11-23,1524,94
2021-11-24,1195,68
2021-11-25,1210,116
2021-11-26,1326,124
2021-11-27,935,114
2021-11-28,457,9
2021-11-29,169,4
2021-11-30,1093,71
2021-12-01,1086,82
2021-12-02,1387,54
2021-12-03,1034,66
2021-12-04,977,69
2021-12-05,824,14
2021-12-06,213,7
2021-12-07,1316,111
2021-12-08,1287,91
2021-12-09,1237,67
2021-12-10,1086,53
2021-12-17,490,259
2021-12-18,102,51
2021-12-22,52,47
2021-12-23,69,20
2021-12-24,37,27
2021-12-25,13,1
2021-12-28,123,31
2021-12-30,4573,59
2021-12-31,1097,19
2022-01-01,361,8
2022-01-02,112,3
2022-01-03,164,0
2022-01-04,1944,26
2022-01-05,2962,35
