Date,Open,High,Low,Close,Adj Close,Volume
2020-07-21,60.439999,60.480000,59.270000,59.700001,53.772350,29043600
2020-07-22,59.930000,60.250000,58.799999,59.240002,53.358028,19644700
2020-07-23,59.900002,60.160000,58.639999,58.849998,53.006744,17291900
2020-07-24,58.570000,58.849998,57.820000,58.599998,52.781574,22544100
2020-07-27,59.099998,61.630001,58.980000,61.369999,55.276535,35124800
2020-07-28,60.700001,61.160000,60.200001,60.340000,54.348804,21707500
2020-07-29,61.209999,62.950001,60.849998,62.950001,56.699654,29486600
2020-07-30,62.299999,62.369999,60.650002,61.270000,55.186462,32210700
2020-07-31,61.099998,62.209999,60.500000,60.709999,54.682068,26318800
2020-08-03,61.860001,62.669998,60.259998,60.259998,54.276749,35910500
2020-08-04,60.259998,60.840000,59.360001,60.700001,54.673061,182535800
2020-08-05,61.900002,62.900002,61.849998,62.189999,56.015118,36999600
2020-08-06,62.619999,62.880001,61.279999,61.830002,55.690865,22468400
2020-08-07,61.389999,61.389999,59.779999,60.450001,54.447887,28427400
2020-08-10,60.700001,62.200001,60.410000,62.200001,56.024128,29341400
2020-08-11,62.790001,62.820000,60.160000,60.279999,54.294765,23822800
2020-08-12,60.880001,62.290001,60.580002,61.500000,55.393627,29627900
2020-08-13,61.400002,62.160000,60.110001,60.349998,54.357815,24906200
2020-08-14,60.349998,61.430000,60.299999,61.349998,55.258522,17848800
2020-08-17,61.779999,62.599998,61.150002,62.230000,56.051147,42786400
2020-08-18,63.299999,63.700001,62.849998,63.060001,56.798733,32205700
2020-08-19,63.410000,63.880001,62.330002,62.389999,56.195263,23537900
2020-08-20,61.820000,63.500000,61.669998,62.950001,56.699654,25866600
2020-08-21,62.410000,62.790001,61.509998,62.200001,56.024128,27242700
2020-08-24,62.939999,63.130001,62.240002,62.959999,56.708664,17944700
2020-08-25,62.799999,62.840000,61.049999,61.619999,55.501713,23543000
2020-08-26,61.660000,62.349998,61.240002,61.750000,55.618805,23924400
2020-08-27,61.689999,62.180000,60.330002,60.790001,54.754124,18201900
2020-08-28,61.180000,61.700001,60.630001,61.099998,55.033340,15040300
2020-08-31,61.099998,61.150002,59.680000,59.680000,53.754337,31080000
2020-09-01,60.290001,61.790001,60.200001,61.759998,55.627811,24197700
2020-09-02,61.900002,62.340000,60.320000,61.320000,55.231503,21797200
2020-09-03,60.000000,60.549999,58.849998,59.320000,53.430080,36117400
2020-09-04,59.709999,60.500000,58.700001,60.490002,54.483913,26636700
2020-09-08,59.590000,59.759998,58.910000,59.270000,53.385048,14663800
2020-09-09,59.900002,60.330002,59.369999,60.000000,54.042564,16481700
2020-09-10,60.000000,60.200001,58.320000,58.529999,52.718525,19431400
2020-09-11,60.049999,62.299999,59.840000,61.950001,55.798946,46057000
2020-09-14,62.799999,63.349998,61.380001,61.910000,55.762917,35710200
2020-09-15,62.709999,63.650002,62.150002,62.599998,56.384411,32570600
2020-09-16,62.320000,62.500000,60.650002,60.970001,54.916252,28843500
2020-09-17,60.400002,62.419998,60.110001,62.080002,55.916042,31397500
2020-09-18,62.480000,63.099998,61.660000,61.660000,55.537743,33143800
2020-09-21,61.049999,61.389999,59.439999,60.000000,54.042564,53120800
2020-09-22,58.139999,58.279999,57.150002,57.810001,54.246670,23996200
2020-09-23,57.669998,59.610001,57.060001,59.099998,55.457153,37365600
2020-09-24,59.689999,59.779999,58.439999,58.660000,55.044277,31607500
2020-09-25,58.349998,59.450001,58.200001,59.250000,55.597908,27582200
2020-09-28,59.939999,60.240002,58.700001,58.779999,55.156876,30265400
2020-09-29,58.730000,59.959999,58.349998,58.349998,54.753384,26201600
2020-09-30,59.209999,60.270000,58.750000,59.110001,55.466537,25947500
2020-10-01,59.529999,59.849998,58.020000,58.860001,55.231949,22852700
2020-10-02,58.610001,59.439999,58.110001,58.320000,54.725235,23668800
2020-10-05,58.900002,59.840000,58.750000,59.590000,55.916950,17887200
2020-10-06,60.009998,60.279999,58.209999,58.619999,55.006741,21951600
2020-10-07,59.139999,60.759998,58.959999,60.169998,56.461201,27276500
2020-10-08,60.349998,61.490002,60.060001,61.290001,57.512165,22207400
2020-10-09,61.689999,61.939999,60.849998,61.599998,57.803055,21120900
2020-10-13,61.270000,62.639999,61.029999,62.139999,58.309772,18602200
